type	latitude	longitude	altitude (m)	color	opacity	name	desc	kml_folder
T	14.049905654	120.793937274	523.8					
T	14.049804114	120.793832594	526.5					
T	14.049753346	120.793701746	529.9					
T	14.049727964	120.793570898	533.2					
T	14.049702580	120.793518559	534.6					
T	14.049677198	120.793413881	537.3					
T	14.049651815	120.793309203	540.1					
T	14.049626433	120.793178356	544.1					
T	14.049575666	120.793047509	548.3					
T	14.049550283	120.792942832	551.6					
T	14.049524900	120.792838155	554.9					
T	14.049524903	120.792733478	558.2					
T	14.049474136	120.792576462	563.4					
T	14.049423369	120.792393278	570.5					
T	14.049423374	120.792210094	578.0					
T	14.049423379	120.792026911	585.4					
T	14.049423384	120.791843728	592.9					
T	14.049423388	120.791660546	600.2					
T	14.049423393	120.791451194	604.2					
T	14.049398012	120.791241843	609.5					
T	14.049398016	120.791032492	613.7					
T	14.049398020	120.790849311	617.4					
T	14.049398023	120.790666129	615.2					
T	14.049423412	120.790509117	611.7					
T	14.049423415	120.790325936	609.2					
T	14.049423418	120.790168924	607.0					
T	14.049423421	120.789985743	603.8					
T	14.049448810	120.789776394	590.8					
T	14.049448812	120.789593214	580.1					
T	14.049448814	120.789410034	569.4					
T	14.049448817	120.789200685	557.2					
T	14.049474204	120.789017506	547.9					
T	14.049474206	120.788834326	539.7					
T	14.049499593	120.788624978	529.8					
T	14.049550366	120.788441798	520.8					
T	14.049550367	120.788258619	513.4					
T	14.049575754	120.788101608	507.7					
T	14.049651911	120.787970765	502.4					
T	14.049702683	120.787839923	497.5					
T	14.049702684	120.787604407	489.8					
T	14.049702684	120.787499733	486.4					
T	14.049702684	120.787368890	482.8					
T	14.049753456	120.787264217	479.9					
T	14.049778841	120.787159543	477.1					
T	14.049804227	120.787054869	474.4					
T	14.049829613	120.786924026	471.1					
T	14.049829612	120.786793184	467.8					
T	14.049880383	120.786610005	465.3					
T	14.049905768	120.786479162	466.4					
T	14.049931154	120.786374488	467.5					
T	14.049956539	120.786269814	468.8					
T	14.049981924	120.786165140	470.3					
T	14.049981923	120.786034298	471.5					
T	14.050007308	120.785929624	473.4					
T	14.050058078	120.785772612	475.9					
T	14.050108848	120.785615601	476.8					
T	14.050134233	120.785510927	477.1					
T	14.050159617	120.785353916	476.9					
T	14.050185001	120.785144567	476.3					
T	14.050184998	120.784909051	474.1					
T	14.050184996	120.784699702	471.4					
T	14.050184993	120.784542691	469.4					
T	14.050184991	120.784385679	467.4					
T	14.050235760	120.784254836	467.7					
T	14.050261144	120.784123992	467.5					
T	14.050261141	120.783914643	466.7					
T	14.050261138	120.783783800	466.3					
T	14.050210363	120.783548283	463.4					
T	14.050210358	120.783312765	462.1					
T	14.050210355	120.783181922	459.4					
T	14.050210353	120.783051078	456.6					
T	14.050210349	120.782894066	453.3					
T	14.050210346	120.782737053	450.0					
T	14.050210343	120.782632378	447.8					
T	14.050210339	120.782475365	444.6					
T	14.050184951	120.782370690	442.1					
T	14.050134176	120.782213678	438.3					
T	14.050134173	120.782109003	436.5					
T	14.050159553	120.781899651	433.1					
T	14.050159550	120.781794976	431.2					
T	14.050210317	120.781637961	428.5					
T	14.050210313	120.781480947	424.3					
T	14.050210309	120.781350102	420.8					
T	14.050210303	120.781166919	415.9					
T	14.050210298	120.781009904	411.7					
T	14.050235680	120.780879059	408.1					
T	14.050235675	120.780722044	403.4					
T	14.050235671	120.780591198	399.4					
T	14.050235663	120.780381844	392.9					
T	14.050235661	120.780303337	390.5					
T	14.050235656	120.780172490	386.5					
T	14.050210266	120.780067814	383.3					
T	14.050184876	120.779936968	378.9					
T	14.050134097	120.779753784	371.9					
T	14.050057933	120.779596770	365.6					
T	14.049956382	120.779439756	357.7					
T	14.049880219	120.779308910	350.2					
T	14.049778671	120.779204236	343.5					
T	14.049677124	120.779151899	339.1					
T	14.049550192	120.779099564	334.5					
T	14.049423259	120.779047228	330.3					
T	14.049245554	120.778994893	325.3					
T	14.049118623	120.778994897	324.9					
T	14.049017082	120.779073407	328.9					
T	14.048940929	120.779178087	332.1					
T	14.048864774	120.779256597	335.3					
T	14.048814004	120.779308937	337.2					
T	14.048737849	120.779387447	339.9					
T	14.048661698	120.779544465	343.1					
T	14.048560160	120.779701483	346.1					
T	14.048458624	120.779884670	348.5					
T	14.048382472	120.780041686	350.0					
T	14.048331704	120.780146363	351.1					
T	14.048255550	120.780251042	355.1					
T	14.048179397	120.780381889	359.3					
T	14.048128630	120.780512735	362.4					
T	14.048052477	120.780643581	366.5					
T	14.048001710	120.780774427	369.5					
T	14.047950945	120.780957611	372.9					
T	14.047900176	120.781062287	375.7					
T	14.047824022	120.781193133	379.8					
T	14.047824028	120.781350146	380.9					
T	14.047824033	120.781480990	381.8					
T	14.047824040	120.781690340	383.2					
T	14.047824045	120.781847353	384.6					
T	14.047824051	120.782030534	386.1					
T	14.047747898	120.782187547	389.6					
T	14.047722515	120.782292222	390.8					
T	14.047697132	120.782396897	392.0					
T	14.047697135	120.782501571	392.5					
T	14.047697138	120.782606246	392.5					
T	14.047646371	120.782763258	393.2					
T	14.047646373	120.782867932	393.1					
T	14.047646379	120.783077281	393.0					
T	14.047646382	120.783208124	393.0					
T	14.047646385	120.783312798	392.9					
T	14.047646389	120.783469809	394.6					
T	14.047621007	120.783652988	396.8					
T	14.047621012	120.783914673	400.2					
T	14.047621014	120.784019347	401.5					
T	14.047646404	120.784228694	405.3					
T	14.047697180	120.784411872	410.6					
T	14.047697181	120.784464209	412.1					
T	14.047722568	120.784568882	414.9					
T	14.047747956	120.784673556	417.6					
T	14.047773344	120.784830566	421.6					
T	14.047798732	120.784987576	425.4					
T	14.047798735	120.785196923	433.1					
T	14.047798738	120.785432438	441.9					
T	14.047798740	120.785641785	449.7					
T	14.047773356	120.785851131	458.1					
T	14.047722585	120.786008142	464.8					
T	14.047722586	120.786217488	472.2					
T	14.047722588	120.786453003	480.5					
T	14.047722588	120.786662350	487.8					
T	14.047722589	120.786897864	493.8					
T	14.047697203	120.787133379	500.0					
T	14.047697203	120.787342726	505.2					
T	14.047697202	120.787630578	511.2					
T	14.047697202	120.787839924	514.6					
T	14.047697201	120.788049271	518.0					
T	14.047697199	120.788258618	521.4					
T	14.047697198	120.788389460	524.1					
T	14.047697197	120.788572639	528.8					
T	14.047697195	120.788755817	533.6					
T	14.047697193	120.788912828	537.7					
T	14.047697191	120.789148344	543.9					
T	14.047722574	120.789357691	554.1					
T	14.047747957	120.789567039	564.8					
T	14.047747954	120.789724051	572.0					
T	14.047798724	120.789854893	580.1					
T	14.047874880	120.789985736	589.2					
T	14.047874878	120.790116579	589.9					
T	14.047925646	120.790325928	592.1					
T	14.047951030	120.790430602	593.2					
T	14.048001799	120.790561446	595.4					
T	14.048027182	120.790692289	596.6					
T	14.048077951	120.790823133	599.0					
T	14.048077947	120.791032482	595.5					
T	14.048103328	120.791215664	593.4					
T	14.048154097	120.791372677	592.6					
T	14.048179479	120.791503521	591.2					
T	14.048230245	120.791739041	588.0					
T	14.048255628	120.791869885	585.0					
T	14.048255625	120.791974561	581.9					
T	14.048306391	120.792157744	577.9					
T	14.048331775	120.792236251	576.2					
T	14.048331770	120.792393265	571.3					
T	14.048331765	120.792550279	566.0					
T	14.048331760	120.792707293	560.0					
T	14.048331753	120.792916646	552.0					
T	14.048306358	120.793178338	541.6					
T	14.048280963	120.793413860	533.5					
T	14.048255569	120.793623214	528.1					
T	14.048204788	120.793832568	522.8					
T	14.048179393	120.794041923	517.7					
T	14.048179386	120.794225109	514.4					
T	14.048153991	120.794408295	513.0					
T	14.048153983	120.794591482	511.7					
T	14.048153975	120.794774670	510.4					
T	14.048153968	120.794931688	509.2					
T	14.048103189	120.795062535	509.1					
T	14.048077796	120.795193384	509.2					
T	14.048001629	120.795350401	509.4					
T	14.047976236	120.795481250	509.3					
T	14.047925459	120.795559759	509.3					
T	14.047823910	120.795612097	509.5					
T	14.047696978	120.795612095	509.9					
T	14.047595429	120.795664433	509.9					
T	14.047493883	120.795664432	510.3					
T	14.047443110	120.795664431	510.8					
T	14.047290790	120.795664429	512.5					
T	14.047163858	120.795664428	513.8					
T	14.047036926	120.795638257	515.3					
T	14.046884608	120.795612085	517.0					
T	14.046757674	120.795612084	518.3					
T	14.046656131	120.795559743	519.5					
T	14.046579972	120.795533572	520.5					
T	14.046503813	120.795507402	521.5					
T	14.046351494	120.795481230	523.6					
T	14.046275336	120.795455061	524.6					
T	14.046199177	120.795428890	525.7					
T	14.046046861	120.795350380	527.8					
T	14.045919929	120.795298040	529.5					
T	14.045792999	120.795245699	531.2					
T	14.045666070	120.795141020	533.1					
T	14.045564530	120.795010171	534.8					
T	14.045437600	120.794931662	537.3					
T	14.045361445	120.794853153	539.2					
T	14.045285290	120.794748475	541.5					
T	14.045209133	120.794669966	543.6					
T	14.045107590	120.794591458	546.4					
T	14.045031433	120.794512949	548.8					
T	14.044929891	120.794408271	552.0					
T	14.044853736	120.794303594	554.4					
T	14.044752194	120.794198917	557.0					
