type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.029615295	120.848759252	478.0						
T	14.030421511	120.849581655	480.5						
T	14.031426200	120.849989575	486.4						
T	14.032028804	120.850192992	482.0						
T	14.033034508	120.850807622	491.6						
T	14.034039178	120.851215557	487.2						
T	14.034443302	120.851833477	492.0						
T	14.035047946	120.852450311	489.4						
T	14.035853110	120.853066060	501.6						
T	14.036256201	120.853477293	506.9						
T	14.036861860	120.854300851	519.5						
T	14.037066474	120.855126592	534.1						
T	14.037871628	120.855742367	540.6						
T	14.038475235	120.856152529	543.7						
T	14.039278340	120.856354889	541.8						
T	14.040081443	120.856557256	545.8						
T	14.041084038	120.856551826	552.9						
T	14.041886111	120.856547485	551.0						
T	14.042487664	120.856544230	546.4						
T	14.043289733	120.856539891	540.1						
T	14.044491803	120.856326671	556.7						
T	14.045692841	120.855906741	554.6						
T	14.046693355	120.855487897	539.2						
T	14.047493351	120.855070133	534.2						
T	14.048294370	120.854859091	534.8						
T	14.049095386	120.854648046	545.6						
T	14.049895367	120.854230290	561.1						
T	14.050697406	120.854225964	564.9						
T	14.051697889	120.853807124	579.4						
T	14.052098906	120.853804963	577.4						
T	14.054101919	120.853380729	556.2						
T	14.054501898	120.853171851	559.6						
T	14.055702868	120.852751942	577.4						
T	14.056501785	120.852127474	571.3						
T	14.056900722	120.851711880	559.5						
T	14.057899095	120.850879623	522.2						
T	14.057894941	120.850052762	536.1						
T	14.057890783	120.849225907	549.3						
T	14.058086084	120.848191265	591.6						
T	14.058282422	120.847363340	628.8						
T	14.058280338	120.846949919	632.7						
T	14.058274081	120.845709666	616.6						
T	14.058067316	120.844470506	610.8						
T	14.058063137	120.843643684	616.4						
T	14.058056862	120.842403459	625.5						
T	14.058051628	120.841369944	626.2						
T	14.058450532	120.840954366	625.4						
T	14.059451981	120.840742228	624.8						
T	14.060253978	120.840737882	621.5						
T	14.061456971	120.840731366	616.1						
T	14.062258965	120.840727023	608.0						
T	14.063662455	120.840719427	591.1						
T	14.065065943	120.840711834	579.7						
T	14.066469432	120.840704246	583.5						
T	14.067672421	120.840697744	590.8						
T	14.068673861	120.840485619	586.4						
T	14.069876851	120.840479122	578.1						
